"_id",text
5b6b315325dba37e949d0285,@artsmith15 the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die tod… https://t.co/yIEXWrQwie
5b6b315325dba37e949d028a,@kayleemn11 I let a girl hit me twice if you think she beat my ass continue thinking 🤣
5b6b315325dba37e949d028c,u dont know real pain until u realize most of ur fav kpop idols are enlisting in the army this year/next year lol rip
5b6b315325dba37e949d028d,I vote #CHANYEOL 🐫 for 100 Most Handsome Faces 2018~ Whats your favourite photo of CHANYEOL \n from Legendary #EXO (… https://t.co/dc9USF5Pes
5b6b315325dba37e949d028e,I voted for #TeamBTS on @TheTylt—winning global awards proves @BTS_twt's the top K-pop act https://t.co/GfvGt88v6W https://t.co/yB1Rrgutko
5b6b315325dba37e949d0292,@StarTae5 the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die today… https://t.co/4VzlHoyk4U
5b6b315325dba37e949d0298,@sevenfiga the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die toda… https://t.co/g08wc8uhEn
5b6b315325dba37e949d029b,@mrags316 Broken clock is right twice per day!!
5b6b315325dba37e949d029e,"deleted instagram after getting hacked twice in a row. so if you need me, i’m on twitter, snapchat, or you can text me😋"
5b6b315325dba37e949d02a5,@rosie @CuomoPrimeTime @NBCNews @SavannahGuthrie @LesterHoltNBC @chucktodd !!! Fake journalists !!! #MAGA… https://t.co/kJ4PsPmHGq
5b6b315325dba37e949d02a8,@4eyesofficiel the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die… https://t.co/dA2oM4Q1HX
5b6b315325dba37e949d02ae,@taylorswift13 @taylornation13 if y’all are lurking I have a list I need y’all to check Twice all of these swifties… https://t.co/qE1mWta9Sw
5b6b315325dba37e949d02b5,@gergory_n the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die toda… https://t.co/r766TQEaBZ
5b6b315325dba37e949d02c0,@zaynsdae we all took that in consideration but saw more pros in this situations than cons. none outside of kpop st… https://t.co/3cYNNMYH1D
5b6b315325dba37e949d02c1,@rae_gailin the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die tod… https://t.co/uYZsaxihzk
5b6b315325dba37e949d02c6,@BriceVarbel @seth_delong @B1ackSchefter Not really lol talking the rare occasion he was switched during the WCF? S… https://t.co/l3yM12x3Kw
5b6b315325dba37e949d02cc,New Listing! CJ Banks Womens Corduroy Jeans Sz 16W Blue Tapered Leg 100% Cotton https://t.co/cuo1gNmga0
5b6b315325dba37e949d02cd,@SinematicSeth @i_am_joshyo I've watched them all twice ❤️ I watch them first and then with my six year old (he lov… https://t.co/sHDDbC9wok
5b6b315325dba37e949d02d0,"SHE'S MURDERING ME WITH PICS OF DONGHAE. SHE KNOWS MY WEAKNESS, BUT SHE'LL STILL GET ALL MY KPOP INCLUDING THE TAEM… https://t.co/STPxekrAyC"
5b6b315325dba37e949d02d1,"@EmilyKrumlinde I moved twice so fat this year, totally feel you!&lt;3 Sometimes I feel I just wanna have a toothbrush… https://t.co/7xnL3IwReo"
5b6b315325dba37e949d02d4,@CABRAL_NLP the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i die tod… https://t.co/EPSnx8hxtw
5b6b315325dba37e949d02d8,@Gw3ndolyn_b OOOF tea. ik one of my friends asked you for a shirt last year but still has yet to even make a post!… https://t.co/D5O0MlxsE9
5b6b315325dba37e949d02de,@tannunah @SoIntoTWICEPINK receipts are no one from korea even know them before they sky rocketed in terms of chart… https://t.co/MkQwlAsbOH
5b6b315325dba37e949d02e3,it’s. Just. Kpop. Oh my god people have too much time on their hands. Kings still remain unbothered tho 💅🏻
5b6b316825dba37e949d02eb,@Abdulla14626308 the worst  in my life is fact that i don't know my pup! but da didn't make me hate my mum! If i di… https://t.co/rzpUNgjbLo
5b6b316825dba37e949d02ec,"When Antis get ready for projects against Bangtan, it always feels like we are going to war. Chill ya titties, kpop… https://t.co/pSPXAQdlgr"
5b6b316825dba37e949d02f2,Only 1 😂💪🏾
5b6b316825dba37e949d02f7,I call him Ass Wipe.\n..
5b6b316825dba37e949d02f8,I love everything about this thread. Preach!
5b6b316825dba37e949d02f9,trade kpop user / users\n\n@.taehyrng
5b6b316825dba37e949d02fa,"on the low, western fandoms treat us better than most kpop fandoms,, oOf #ARMYZquadStreamingParty"
5b6b316825dba37e949d02fb,"@ruunemagick Literal 9 year olds have someone watching their back, typically twice the size of anyone who might giv… https://t.co/1uebBOtJH7"
5b6b316825dba37e949d02fd,"I Need A Six Month Holiday, Twice A Year. ✌"
